FileName,R1,G1,B1,Count1,R2,G2,B2,Count2,R3,G3,B3,Count3,R4,G4,B4,Count4,R5,G5,B5,Count5
Normal_5.jpg,0,0,0,74456,90,82,94,60099,136,110,112,49300,186,141,133,39611,229,181,168,38678
Normal_50.jpg,76,67,72,89797,52,43,46,64601,0,0,0,56348,103,68,61,34771,151,91,70,16627
Normal_51.jpg,127,83,67,72676,0,0,0,59950,83,56,47,46405,224,105,78,44847,171,90,71,38266
Normal_52.jpg,125,76,61,63284,0,0,0,60412,165,89,71,51695,77,50,42,50246,210,102,77,36507
Normal_53.jpg,0,0,0,74806,187,130,60,68197,124,96,51,42854,64,45,27,42225,245,180,63,34062
Normal_54.jpg,0,0,0,75439,181,114,57,60824,128,84,44,54727,69,49,30,44950,241,157,57,26204
Normal_55.jpg,0,0,0,74865,134,139,153,65684,157,107,100,61883,102,80,78,38931,226,128,104,20781
Normal_56.jpg,0,0,0,74938,210,125,105,54626,140,128,132,52706,98,76,76,42557,204,179,178,37317
Normal_57.jpg,0,0,0,74976,141,116,114,65322,103,89,93,61058,62,56,62,49491,202,151,130,11297
Normal_58.jpg,0,0,0,78696,105,99,105,69458,62,52,55,49237,136,147,157,39561,160,97,80,25192
Normal_59.jpg,0,0,0,74320,173,134,123,66930,125,106,105,51067,231,158,118,36833,94,78,80,32994
Normal_6.jpg,59,57,63,78648,0,0,0,74374,98,81,78,51978,146,104,87,38687,201,129,95,18457
Normal_60.jpg,0,0,0,74575,135,100,104,54925,174,137,138,46061,223,178,162,44444,77,64,77,42139
Normal_61.jpg,0,0,0,60599,71,54,50,55153,166,99,85,52342,118,78,69,48891,214,115,96,45159
Normal_62.jpg,2,2,2,104328,83,74,79,56052,91,95,107,51653,119,89,83,27817,52,44,46,22294
Normal_63.jpg,0,0,0,76042,160,154,159,59967,133,117,120,55007,76,69,76,36772,203,206,213,34356
Normal_64.jpg,0,0,0,75063,145,116,100,70968,109,94,84,54244,73,59,52,45188,214,139,97,16681
Normal_65.jpg,0,0,0,73918,157,131,115,70375,195,205,188,43870,99,74,62,37128,232,156,107,36853
Normal_66.jpg,0,0,0,78172,118,100,105,75548,73,69,79,44131,164,126,121,34417,224,159,137,29876
Normal_67.jpg,0,0,0,76454,105,87,88,64805,66,60,64,50148,153,114,106,49412,209,143,120,21325
Normal_68.jpg,114,90,85,71486,0,0,0,60901,159,95,89,51264,77,54,50,41961,226,120,101,36532
Normal_69.jpg,0,0,0,65670,164,82,52,56264,116,75,48,52436,70,51,33,49614,210,84,50,38160
Normal_7.jpg,0,0,0,72553,79,78,86,58425,52,43,41,58371,104,70,57,51691,166,100,65,21104
Normal_70.jpg,0,0,0,75318,167,124,93,54882,124,128,116,46738,184,167,140,46576,105,83,66,38630
Normal_71.jpg,0,0,0,74238,193,136,97,69900,213,191,160,43620,113,88,69,38642,145,147,130,35744
Normal_72.jpg,0,0,0,74357,78,61,47,57299,203,120,70,51714,138,97,66,51272,245,179,102,27502
Normal_73.jpg,0,0,0,75113,111,100,78,55462,124,74,45,55307,61,42,29,40371,200,97,43,35891
Normal_74.jpg,0,0,0,74224,99,92,81,55487,176,139,109,52806,145,114,89,45251,217,138,87,34376
Normal_75.jpg,165,111,81,74332,0,0,0,60034,68,56,43,54786,120,81,61,43148,215,136,95,29844
Normal_76.jpg,0,0,0,75977,71,70,60,57437,104,84,65,54342,136,98,68,53806,183,117,71,20582
Normal_77.jpg,0,0,0,74900,132,100,92,71857,81,63,62,57599,190,108,79,31172,252,168,90,26616
Normal_78.jpg,0,0,0,74880,144,121,114,57407,151,92,71,51969,94,85,86,49396,215,110,67,28492
Normal_79.jpg,0,0,0,74692,129,105,110,69355,208,143,129,49363,70,55,59,35363,252,217,158,33371
Normal_8.jpg,0,0,0,74412,63,57,62,63954,124,90,91,58664,155,129,129,41044,211,168,157,24070
Normal_80.jpg,0,0,0,75203,150,114,72,53294,216,162,98,46175,92,76,53,45861,205,121,64,41611
Normal_81.jpg,0,0,0,75361,110,87,45,70468,82,66,35,43193,131,127,73,42231,157,108,48,30891
